date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:58	122151/122151	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Mar%202022%2015:07:58%20GMT	window.location.href = './dashboard/';	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/login.html	(from )
20:37:58	207/207	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Mar%202022%2015:07:58%20GMT	https://adip.disabilityaffairs.gov.in/robots.txt		(from )
20:37:59	1814/1814	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Nov%202021%2004:17:16%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/js/homepage/inspect_element.js	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/js/homepage/inspect_element.js	(from window.location.href = './dashboard/';)
20:37:59	19354/19354	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Nov%202021%2004:17:06%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/images/fvlogo1l.png	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/images/fvlogo1l.png	(from window.location.href = './dashboard/';)
20:37:59	1412/1412	---MC-	200	added ('OK')	text/css	date:Fri,%2018%20Mar%202022%2015:08:00%20GMT	https://fonts.googleapis.com/css?family=Handlee|Open+Sans:300,400,600,700,800	C:/Users/Trija/Downloads/ADIPWebsite/fonts.googleapis.com/css63ac.css	(from window.location.href = './dashboard/';)
20:37:59	78060/78060	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2004:16:58%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/home.css	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/home.css	(from window.location.href = './dashboard/';)
20:38:00	22092/22092	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2004:16:58%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/bootstrap-responsive.css	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/bootstrap-responsive.css	(from window.location.href = './dashboard/';)
20:38:00	3855/3855	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2004:16:58%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/flexslider.css	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/flexslider.css	(from window.location.href = './dashboard/';)
20:38:00	19589/19589	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2004:17:00%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/prettyPhoto.css	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/prettyPhoto.css	(from window.location.href = './dashboard/';)
20:38:00	26221/26221	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2004:16:58%20GMT	https://adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/camera.css	C:/Users/Trija/Downloads/ADIPWebsite/adip.disabilityaffairs.gov.in/ADIP/css/homepage/latest/camera.css	(from window.location.href = './dashboard/';)
